objectid,parentid,title,subject,location,latitude,longitude,type,language,type,format,display_template,object_location,image_small,description
Mi-2-40,,George Harris,Comedy,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Un-8-41,,Édgar Ramirez,Actor,Unknown,,,Text,eng,,,,,,
Un-9-42,,Rafael de la Fuente,Actor,Unknown,,,Text,eng,,,,,,
Un-10-43,,Patricia Velasquez,Actress,Unknown,,,Text,eng,,,,,,
Pa-1-44,,Carlos Medina,Visual art; plastics; sculpture,"Paris, France",48.85661,2.35222,Text,eng,,,,,,
Ca-2-45,,Abraham de Barros,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-3-46,,Adán Reyes,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-1-47,,Adriana Calderón,Painting,Canary Islands,28.29156,-16.62913,Text,eng,,,,,,
Ve-1-48,,Alexander Martínez,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Mi-2-49,,Ana Vanessa Urvina,Painting,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Ca-4-50,,Ángel Mieres,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-5-51,,Ángela Scavo,Visual art; mixed media; photography,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Co-1-52,,Antolines Castro,Painting,"Colón, Táchira, Venezuela",8.03889,-72.25414,Text,eng,,,,,,
Me-1-53,,Arnaldo Delgado,Painting,"Mérida, Venezuela",8.56982,-71.18049,Text,eng,,,,,,
Me-2-54,,Belkis Granada,Painting; plastics,"Mérida, Venezuela",8.56982,-71.18049,Text,eng,,,,,,
Ca-6-55,,Bruno García,Painting; plastics,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
As-1-56,,Carlos Blanco,Painting,"Asturias, Spain",43.36139,-5.85932,Text,eng,,,,,,
La-1-57,,Carlos Rivero,Painting,"Lara, Venezuela",10.15378,-69.85974,Text,eng,,,,,,
Ca-7-58,,Carolina Galia,Illustration,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-8-59,,Cesar Bello,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-9-60,,Daniel Casique,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Lo-3-61,,Adriana Jaros; Jaroslavsky,Multidisciplinary art,"London, United Kingdom",51.50721,-0.12758,Text,eng,,,,,,
Ca-10-62,,Jorge Contreras,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ch-1-63,,Jhonny Fung,Painting,"Chicago, Illinois",41.87811,-87.62979,Text,eng,,,,,,
Ba-1-64,,Jesús Armando Villalón,Painting,"Barquisimeto, Venezuela",10.06777,-69.34735,Text,eng,,,,,,
Ca-11-65,,Iván Romero,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Bu-1-66,,Irina Ferrer Brillante,Painting,"Buenos Aires, Argentina",-34.60368,-58.38155,Text,eng,,,,,,
Mi-3-67,,Ileana Rincón-Cañas,Painting; photography,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Bo-3-68,,Gustavo Zajac,Painting,"Bogotá, Colombia",4.71098,-74.07209,Text,eng,,,,,,
Ch-1-69,,Graciela Zúñiga,Painting,Chile,-35.67514,-71.54296,Text,eng,,,,,,
Ch-2-70,,Domingo Laya,Painting,Chile,-35.67514,-71.54296,Text,eng,,,,,,
Ve-2-71,,Eduard Díaz,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Ca-12-72,,Giannini Arnetta Díaz,Architecture; painting; sculpture,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Sa-1-73,,Francisco Vargas,Painting,"São Paulo, Brazil",-23.55577,-46.63955,Text,eng,,,,,,
Ma-1-74,,Enzo,Painting,"Madrid, Spain",40.41677,-3.70379,Text,eng,,,,,,
Sa-1-75,,Ender Rodríguez,Mixed media,"San Cristóbal, Táchira, Venezuela",7.77135,-72.22614,Text,eng,,,,,,
Bu-2-76,,Edwin García,Graphic art,"Buenos Aires, Argentina",-34.60368,-58.38155,Text,eng,,,,,,
Ca-13-77,,José Basanta,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-14-78,,José Caldas,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-15-79,,José Luis Castillo,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-16-80,,José Madera Niño,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-17-81,,José Merchán,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-18-82,,Juan González Bolívar,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Me-3-83,,Julián Villatańe,Painting,"Mérida, Venezuela",8.56982,-71.18049,Text,eng,,,,,,
Bu-3-84,,Kristy Hernández,Painting,"Buenos Aires, Argentina",-34.60368,-58.38155,Text,eng,,,,,,
Bo-4-85,,Linda Phillips,Painting; photography,"Bogotá, Colombia",4.71098,-74.07209,Text,eng,,,,,,
Ge-1-86,,Luis Alberto Hernández,Painting,Germany; France; Venezuela,51.16569,10.45152,Text,eng,,,,,,
Ca-19-87,,Luis Rocca Brito,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Bu-4-88,,Manuela Armand,Painting,"Buenos Aires, Argentina",-34.60368,-58.38155,Text,eng,,,,,,
Sa-1-89,,María De Las Casas,Photography,"Santander, Spain",43.46363,-3.82264,Text,eng,,,,,,
Ve-3-90,,Miguel Triviño,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Mi-4-91,,Morela Avilán,Painting,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Ve-4-92,,Natalia Rondón,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Ca-20-93,,Prada Colón,Sculpture,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ve-5-94,,Pristowscheg (born Giuseppe Lupo),Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Ve-6-95,,Raúl Tamarís,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
It-1-96,,Ricardo Báez Duarte,Painting; photography; image making,Italy,41.87194,12.56738,Text,eng,,,,,,
Ca-21-97,,Rigoberto Astupuma,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-22-98,,Ronald Ruíz,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-23-99,,Rosa Canelón,Painting; plastics,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ca-24-100,,Rosa Salazar,Painting; plastics; sculpture,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Me-4-101,,Rubén Molina,Painting,"Mérida, Venezuela",8.56982,-71.18049,Text,eng,,,,,,
Ca-25-102,,Siul Rasse,Textile art,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ve-7-103,,Toribio Quintero,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Po-1-104,,Víctor Asuaje,Painting,"Portuguesa, Venezuela",9.09439,-69.09702,Text,eng,,,,,,
Va-1-105,,Víctor Julio González,Mixed media; painting; photography; plastics,"Valencia, Venezuela",10.15793,-67.99721,Text,eng,,,,,,
Ca-26-106,,William Lira,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Ve-8-107,,Wuilkar Ríos,Painting,Venezuela,6.42375,-66.58973,Text,eng,,,,,,
Ca-27-108,,Yobel Parra,Painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Mi-5-109,,Yovanny Saracual,Painting,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Me-5-110,,Yudy Márquez,Painting,"Mérida, Venezuela",8.56982,-71.18049,Text,eng,,,,,,
Un-11-111,,Milton Becerra,Land art,Unknown,,,Text,eng,,,,,,
Bo-1-112,,Valentina Castillos,Visual art; photography,"Bogotá, Colombia",4.71098,-74.07209,Text,eng,,,,,,
Ba-1-113,,Adriana Castillo Saldeño,Photography,"Barcelona, Venezuela",9.95,-70.73333,Text,eng,,,,,,
Ne-1-114,,Gisela A. Lazarte,Painting,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Ma-1-115,,Erika Achec,Photography,"Madrid, Spain",40.41677,-3.70379,Text,eng,,,,,,
Br-2-116,,Yuri Uzcategui,Multidisciplinary art; crochet; illustration; painting,"Brooklyn, New York",40.67817,-73.94415,Text,eng,,,,,,
Ca-28-117,,Renier Casanova,Drawing; oil painting,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
At-1-118,,Elizabeth Chirinos,Ceramics; plastics,"Atlanta, Georgia",33.74875,-84.38768,Text,eng,,,,,,
Mi-6-119,,Rafael Francisco Carabaño,Graphic art,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Mi-7-120,,Patricia (Pati) Calero,Origami,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Mi-8-121,,Ramon Leon,Graphic art; visual art,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Co-1-122,,Fabiola Ocando,Painting,"Canelones, Uruguay",-34.52468,-56.28121,Text,eng,,,,,,
Mi-3-123,,Raida Madriz,Painting,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Ne-2-124,,JJ Gonzalez Acosta,Graphic art; painting,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Ne-3-125,,Zulimar Mendoza,Painting,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Va-2-126,,Martín Mendoza,Painting,"Valencia, Venezuela",10.15793,-67.99721,Text,eng,,,,,,
Sa-1-127,,Marian Gómez,Painting,"Salt Lake City, Utah",40.76077,-111.89104,Text,eng,,,,,,
Vi-1-128,,Maria Fiorella,Oil painting,Virginia; Florida,37.43157,-78.65689,Text,eng,,,,,,
Ne-4-129,,Miler Angulo Hernandez,Collage; photography,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Bo-1-130,,Jorge King,Multidisciplinary art; design,"Boston, Massachusetts; New York City, New York; Miami, Florida",,,Text,eng,,,,,,
Un-12-131,,Clareth Garcia,Visual art; painting,Unknown,,,Text,eng,,,,,,
Ne-5-132,,Daniel Galué Karmowski,Visual art,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Ho-2-133,,Francisco Hernandez,Geometric abstraction; painting,"Houston, Texas",29.76042,-95.3698,Text,eng,,,,,,
So-1-134,,Carolina Galia,Painting,South Florida,27.66482,-81.51575,Text,eng,,,,,,
Lo-1-135,,Hector Urdaneta,Surrealist portraiture; painting; visual art,"Louisville, Kentucky",38.25266,-85.75845,Text,eng,,,,,,
Fo-1-136,,Jose Llavaneras,Painting; visual art,"Fort Worth, Texas",32.75548,-97.33076,Text,eng,,,,,,
Ne-6-137,,Mariana Paskins,Mixed media; oil painting; acrylics,"New York City, New York",40.71277,-74.00597,Text,eng,,,,,,
Te-1-138,,Maria Colmenares,Visual art; painting,Texas,31.96859,-99.90181,Text,eng,,,,,,
Au-1-139,,Boris Gesus Valero,Visual art,"Austin, Texas",30.26715,-97.74306,Text,eng,,,,,,
Mi-9-140,,Patricia van Dalen,Visual art; collage; painting; photography; assemblage,"Miami, Florida",25.76167,-80.19179,Text,eng,,,,,,
Un-13-141,,Ben Abounassif,Geometric abstraction; painting; sculpture,Unknown,,,Text,eng,,,,,,
Br-3-142,,Hermann Mejía,Comics; drawing; painting; sculpture,"Brooklyn, New York",40.67817,-73.94415,Text,eng,,,,,,
Sa-1-143,,Jorge Blanco,Sculpture,"Sarasota, Florida",27.33646,-82.53101,Text,eng,,,,,,
Un-14-144,,Julio Aguilera,Painting; sculpture,Unknown,,,Text,eng,,,,,,
Ca-29-145,,Magdalena Fernández,Installations; media art,"Caracas, Venezuela",10.48059,-66.9036,Text,eng,,,,,,
Zu-1-1,,Ronald Pizzoferrato,Photography,"Zurich, Switzerland",47.37688,8.54169,Text,eng,,,,,,
